id,program_id,program_type,program_duration,test_id,test_type,difficulty_level,trainee_id,gender,education,city_tier,age,total_programs_enrolled,is_handicapped,trainee_engagement_rating,is_pass
13695_33,T_2,T,117,33,offline,intermediate,13695,F,Matriculation,2,43.0,2,N,1.0,1
873_139,Y_2,Y,120,139,offline,hard,873,M,Matriculation,2,,2,N,3.0,1
6987_73,V_4,V,122,73,online,easy,6987,M,Matriculation,1,,2,N,3.0,1
3380_100,V_1,V,133,100,offline,vary hard,3380,F,High School Diploma,3,30.0,2,Y,1.0,0
1906_114,Y_4,Y,121,114,offline,intermediate,1906,M,High School Diploma,3,,2,N,5.0,1
3333_27,T_3,T,134,27,online,easy,3333,F,High School Diploma,2,,2,N,1.0,1
17243_60,U_1,U,134,60,offline,intermediate,17243,F,High School Diploma,1,,5,N,2.0,0
2639_172,Z_2,Z,120,172,offline,easy,2639,F,High School Diploma,1,32.0,1,N,1.0,0
7996_181,Z_1,Z,136,181,offline,easy,7996,F,Matriculation,3,,1,N,1.0,1
5257_73,V_4,V,122,73,online,easy,5257,M,Matriculation,1,27.0,8,Y,2.0,1
16483_155,Y_1,Y,136,155,online,easy,16483,M,High School Diploma,3,28.0,3,N,2.0,1
2853_93,V_2,V,121,93,offline,vary hard,2853,F,High School Diploma,4,27.0,2,N,1.0,0
7171_116,Y_4,Y,121,116,offline,hard,7171,M,High School Diploma,3,,2,N,4.0,1
2546_115,Y_4,Y,121,115,offline,hard,2546,M,High School Diploma,1,,4,Y,5.0,1
6916_10,T_4,T,120,10,offline,easy,6916,F,High School Diploma,3,28.0,4,N,2.0,1
18503_118,Y_4,Y,121,118,online,easy,18503,M,Matriculation,3,44.0,3,N,4.0,1
3343_100,V_1,V,133,100,offline,vary hard,3343,F,High School Diploma,3,,4,N,2.0,0
5458_126,Y_3,Y,135,126,offline,intermediate,5458,M,Matriculation,1,,3,N,4.0,1
158_104,X_3,X,136,104,offline,hard,158,M,High School Diploma,3,,2,N,2.0,1
9351_131,Y_3,Y,135,131,online,easy,9351,M,Matriculation,2,41.0,2,N,4.0,1
3700_97,V_1,V,133,97,offline,hard,3700,M,High School Diploma,4,23.0,2,N,1.0,1
12646_170,Z_2,Z,120,170,offline,easy,12646,F,Matriculation,2,,1,N,4.0,1
8360_149,Y_1,Y,136,149,offline,intermediate,8360,F,Matriculation,1,43.0,2,N,5.0,1
6228_51,U_2,U,122,51,offline,intermediate,6228,M,Bachelors,1,45.0,3,N,4.0,1
18422_123,Y_4,Y,121,123,online,easy,18422,F,High School Diploma,1,44.0,3,N,4.0,1
6039_25,T_3,T,134,25,offline,intermediate,6039,F,High School Diploma,3,43.0,2,N,4.0,1
19574_21,T_3,T,134,21,offline,easy,19574,F,Matriculation,3,43.0,2,N,1.0,0
